TIME;IPSRC;IPDST;ICMP;FLAGS;SEQ;ACK;WIN;OPTIONS;LENGTH;;BP-Linux8==>192168190222;192168190222==>BP-Linux8;BP-Linux8==>ns1lanrtdomain:;ns1lanrtdomain==>BP-Linux8;BP-Linux8==>192168115255:;1921681152==>BP-Linux8:
07:48:19.732369;BP-Linux8.ssh;192.168.190.222.61617:;Vide;[P.],;2767521980:2767522088,;3024075344,;291,;[nop,nop,TS;108;;659;376;13;13;42;42
07:48:19.732369;BP-Linux8.ssh;192.168.190.222.61617:;Vide;[P.],;2767521980:2767522088,;3024075344,;291,;[nop,nop,TS;108
07:48:19.732419;BP-Linux8.ssh;192.168.190.222.61617:;Vide;[P.],;108:144,;1,;291,;[nop,nop,TS;36

;;;;;;;;;;;[P.],;[.],;Vide;[S],;[SEW],;[S.E],
07:48:19.737919;192.168.190.222.61617;BP-Linux8.ssh:;Vide;[.],;Vide;108,;2046,;[nop,nop,TS;0;;217;164;110;650;2;2
07:48:19.732448;BP-Linux8.ssh;192.168.190.222.61617:;Vide;[P.],;144:252,;1,;291,;[nop,nop,TS;108

07:48:19.732472;BP-Linux8.ssh;192.168.190.222.61617:;Vide;[P.],;252:288,;1,;291,;[nop,nop,TS;36

07:48:19.737919;192.168.190.222.61617;BP-Linux8.ssh:;Vide;[.],;Vide;108,;2046,;[nop,nop,TS;0
07:48:19.737993;192.168.190.222.61617;BP-Linux8.ssh:;Vide;[.],;Vide;144,;2047,;[nop,nop,TS;0

07:48:19.738012;192.168.190.222.61617;BP-Linux8.ssh:;Vide;[.],;Vide;252,;2046,;[nop,nop,TS;0

;;;;;;;;;;;BP-Linux8&[P.],;192&[.],;BP-Linux8&Vide;ns1&Vide;192&[P.],;164&[S],;128&[S],;192&Vide;192&[SEW],;BP-Linux8&[S.E],;BP-Linux8&[.],
07:48:20.733627;BP-Linux8.49710;ns1.lan.rt.domain:;Vide;Vide;Vide;Vide;Vide;Vide;Vide;;153;157;55;13;64;250;400;42;2;2;7
07:48:20.733627;BP-Linux8.49710;ns1.lan.rt.domain:;Vide;Vide;Vide;Vide;Vide;Vide;Vide
07:48:20.734593;ns1.lan.rt.domain;BP-Linux8.49710:;Vide;Vide;Vide;Vide;Vide;Vide;Vide
07:48:21.243601;192.168.190.222.61599;BP-Linux8.ssh:;Vide;[P.],;234188084:234188120,;915563485,;2048,;[nop,nop,TS;36

07:48:21.244153;BP-Linux8.ssh;192.168.190.222.61599:;Vide;[P.],;1:37,;36,;291,;[nop,nop,TS;36

07:48:21.246053;BP-Linux8.54575;ns1.lan.rt.domain:;Vide;Vide;Vide;Vide;Vide;Vide;Vide
07:48:21.249648;192.168.190.222.61599;BP-Linux8.ssh:;Vide;[.],;Vide;37,;2047,;[nop,nop,TS;0

