TIME;IPSRC;IPDST;FLAGS;SEQ;ACK;WIN;OPTIONS;LENGTH
11:42:06.681564;190-0-175-100.gba.solunet.com.ar.2483;184.107.43.74.http:;[S],;2121432424:2121432544,;Vide;512,;Vide;120:
11:42:06.681581;190-0-175-100.gba.solunet.com.ar.2484;184.107.43.74.http:;[S],;266983944:266984064,;Vide;512,;Vide;120:
11:42:06.681597;190-0-175-100.gba.solunet.com.ar.2485;184.107.43.74.http:;[S],;780253659:780253779,;Vide;512,;Vide;120:
11:42:06.681614;190-0-175-100.gba.solunet.com.ar.2486;184.107.43.74.http:;[S],;426927737:426927857,;Vide;512,;Vide;120:
11:42:06.681630;190-0-175-100.gba.solunet.com.ar.2487;184.107.43.74.http:;[S],;2059846495:2059846615,;Vide;512,;Vide;120:
11:42:06.681647;190-0-175-100.gba.solunet.com.ar.2488;184.107.43.74.http:;[S],;485695892:485696012,;Vide;512,;Vide;120:
11:42:06.681664;190-0-175-100.gba.solunet.com.ar.2489;184.107.43.74.http:;[S],;1506899314:1506899434,;Vide;512,;Vide;120:
11:42:06.681681;190-0-175-100.gba.solunet.com.ar.2490;184.107.43.74.http:;[S],;1974670292:1974670412,;Vide;512,;Vide;120:
11:42:06.681697;190-0-175-100.gba.solunet.com.ar.2491;184.107.43.74.http:;[S],;984948282:984948402,;Vide;512,;Vide;120:
11:42:06.681722;190-0-175-100.gba.solunet.com.ar.2492;184.107.43.74.http:;[S],;2071134208:2071134328,;Vide;512,;Vide;120:
11:42:06.681739;190-0-175-100.gba.solunet.com.ar.2493;184.107.43.74.http:;[S],;582048290:582048410,;Vide;512,;Vide;120:
11:42:06.681756;190-0-175-100.gba.solunet.com.ar.2494;184.107.43.74.http:;[S],;1414722580:1414722700,;Vide;512,;Vide;120:
11:42:06.681773;190-0-175-100.gba.solunet.com.ar.2495;184.107.43.74.http:;[S],;1376167161:1376167281,;Vide;512,;Vide;120:
11:42:06.681789;190-0-175-100.gba.solunet.com.ar.2496;184.107.43.74.http:;[S],;793373662:793373782,;Vide;512,;Vide;120:
11:42:06.681806;190-0-175-100.gba.solunet.com.ar.2497;184.107.43.74.http:;[S],;586859843:586859963,;Vide;512,;Vide;120:
11:42:06.681823;190-0-175-100.gba.solunet.com.ar.2498;184.107.43.74.http:;[S],;1313429529:1313429649,;Vide;512,;Vide;120:
11:42:06.681839;190-0-175-100.gba.solunet.com.ar.2499;184.107.43.74.http:;[S],;599747608:599747728,;Vide;512,;Vide;120:
11:42:06.681856;190-0-175-100.gba.solunet.com.ar.2500;184.107.43.74.http:;[S],;1764270382:1764270502,;Vide;512,;Vide;120:
11:42:06.681872;190-0-175-100.gba.solunet.com.ar.2501;184.107.43.74.http:;[S],;1266534982:1266535102,;Vide;512,;Vide;120:
11:42:06.681889;190-0-175-100.gba.solunet.com.ar.2502;184.107.43.74.http:;[S],;1923888203:1923888323,;Vide;512,;Vide;120:
11:42:06.681906;190-0-175-100.gba.solunet.com.ar.2503;184.107.43.74.http:;[S],;477956184:477956304,;Vide;512,;Vide;120:
11:42:06.681924;190-0-175-100.gba.solunet.com.ar.2504;184.107.43.74.http:;[S],;1697346829:1697346949,;Vide;512,;Vide;120:
11:42:06.681941;190-0-175-100.gba.solunet.com.ar.2505;184.107.43.74.http:;[S],;1581732153:1581732273,;Vide;512,;Vide;120:
11:42:06.681958;190-0-175-100.gba.solunet.com.ar.2506;184.107.43.74.http:;[S],;2134846905:2134847025,;Vide;512,;Vide;120:
11:42:06.681975;190-0-175-100.gba.solunet.com.ar.2507;184.107.43.74.http:;[S],;5001436:5001556,;Vide;512,;Vide;120:
11:42:06.681992;190-0-175-100.gba.solunet.com.ar.2508;184.107.43.74.http:;[S],;100084791:100084911,;Vide;512,;Vide;120:
11:42:06.682008;190-0-175-100.gba.solunet.com.ar.2509;184.107.43.74.http:;[S],;1351883007:1351883127,;Vide;512,;Vide;120:
11:42:06.682025;190-0-175-100.gba.solunet.com.ar.2510;184.107.43.74.http:;[S],;892547770:892547890,;Vide;512,;Vide;120:
11:42:06.682041;190-0-175-100.gba.solunet.com.ar.2511;184.107.43.74.http:;[S],;203925976:203926096,;Vide;512,;Vide;120:
11:42:06.682058;190-0-175-100.gba.solunet.com.ar.2512;184.107.43.74.http:;[S],;93263311:93263431,;Vide;512,;Vide;120:
